,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
0,Ladder,20200514T220554.000Z,lemonTree68,薛家军.渣男1号,0,3,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Elixir Golem,Inferno Dragon,Arrows,Night Witch,Electro Dragon,Heal Spirit,Rage,Battle Healer
1,Ladder,20200514T212938.000Z,lemonTree68,Kendaswagger ツ,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Knight,Bats,Spear Goblins,Wall Breakers,Poison,The Log,Miner,Bomb Tower
2,Ladder,20200514T184213.000Z,lemonTree68,Dj Alexis ♡,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Ice Wizard,Inferno Dragon,Skeleton Army,Balloon,Royal Hogs,Arrows,Zap,Barbarians
3,Ladder,20200514T181711.000Z,lemonTree68,mike1m1ke,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,X-Bow,Tesla,The Log,Fireball,Archers,Ice Golem,Ice Spirit,Skeletons
4,Ladder,20200514T181114.000Z,lemonTree68,Kat,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,P.E.K.K.A,Poison,Royal Ghost,Battle Ram,Magic Archer,Zap,Bandit,Electro Wizard
8,Ladder,20200514T150158.000Z,lemonTree68,❄ICE❄,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Poison,Tornado,Graveyard,Knight,Ice Wizard,Barbarian Barrel,Baby Dragon,Bomb Tower
9,Ladder,20200514T144920.000Z,lemonTree68,Emirうずまき,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Golem,Night Witch,Bomb Tower,Baby Dragon,Tornado,Lightning,Ice Wizard,Barbarian Barrel
10,Ladder,20200514T144420.000Z,lemonTree68,אביה דביר,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Heal Spirit,Elixir Golem,Battle Healer,Night Witch,Inferno Dragon,Electro Dragon,Rage,Arrows
11,Ladder,20200514T144008.000Z,lemonTree68,单隐,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Miner,Zap,Golem,Firecracker,Arrows,Skeletons,Inferno Dragon,Night Witch
12,Ladder,20200514T143014.000Z,lemonTree68,河马♥️Marco,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Skeleton Barrel,Goblin Cage,Magic Archer,Night Witch,Clone,Tornado,Cannon Cart,Giant Skeleton
13,Ladder,20200514T142404.000Z,lemonTree68,<c5>XABI R.,2,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Lava Hound,Arrows,Bats,Night Witch,Balloon,Skeletons,Poison,Zap
14,Ladder,20200513T225537.000Z,lemonTree68,NWO I ✨Pastus✨,1,2,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Arrows,Fireball,Baby Dragon,Guards,Lava Hound,Inferno Dragon,Miner,Balloon
15,Ladder,20200513T174406.000Z,lemonTree68,❤️Cr1stal❤️,0,3,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Golem,Barbarian Barrel,Baby Dragon,Lightning,Tornado,Night Witch,Lumberjack,Mega Minion
16,Ladder,20200513T173041.000Z,lemonTree68,-Krijgsie-,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,P.E.K.K.A,Poison,Royal Ghost,Battle Ram,Magic Archer,Zap,Bandit,Electro Wizard
17,Ladder,20200513T172557.000Z,lemonTree68,phatcat,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Poison,Zap,Magic Archer,Royal Ghost,Electro Wizard,Bandit,P.E.K.K.A,Battle Ram
18,Ladder,20200513T171942.000Z,lemonTree68,⚡NaoR❄,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Spear Goblins,Bats,The Log,Knight,Earthquake,Royal Delivery,Hog Rider,Bomb Tower
19,Ladder,20200513T171504.000Z,lemonTree68,⚡Kamikaze⚡,0,1,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant,Prince,Dark Prince,Mega Minion,Fireball,Miner,Electro Wizard,Zap
20,Ladder,20200513T171050.000Z,lemonTree68,Ouahleouff❤️,3,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Goblin Hut,Graveyard,Barbarians,Knight,Giant Snowball,Musketeer,Baby Dragon,Poison
21,Ladder,20200513T170734.000Z,lemonTree68,<c5>XABI R.,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Lava Hound,Arrows,Bats,Night Witch,Balloon,Skeletons,Poison,Zap
