,text,neg,neu,pos,compound
10739,"This project includes a number of best things: great team, great product, great idea, great start! We need products and ideas! I'm sure the company will occupy a leading place in this world! #cerlos #sto #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin",0.0,0.553,0.447,0.9778
1473,"We must join hands to save our beautiful planet as there is no other place in the universe so beautiful, so vibrant and so lively. 

Happy World Environment Day 2020!!!!

#environment #sustainability #ecofriendly #climatechange #gogreen #nature #sustainable #green pic.twitter.com/K2xxdLBBk8",0.037,0.522,0.441,0.9777
13651,"We're all talking #sustainability but what specific aspects are #luxury brand's audiences truly interested in?
♻️✅
#Sustainable initiatives have clear and positive brand value impact - what draws interest?
#cruelty-free
#reuse
#ethical
@Wearisma data  https://www.wearisma.com/2020/01/16/beyond-the-buzzword-what-aspect-of-sustainability-do-online-audiences-actually-care-about/ … pic.twitter.com/XtUgHPLqca",0.0,0.556,0.444,0.9755
13623,"We're all talking #sustainability but what specific aspects are #luxury brand's audiences truly interested in?
♻️✅
#Sustainable initiatives have clear & positive brand value impact - what draws interest?
#cruelty-free
#reuse
#ethical
@Wearisma data  https://www.wearisma.com/2020/01/16/beyond-the-buzzword-what-aspect-of-sustainability-do-online-audiences-actually-care-about/ … pic.twitter.com/5Y0LOgjyQy",0.0,0.547,0.453,0.9755
14538,"glad to join with this project like this superb project,& excellent idea & superb position in the current market, have good team they are doing work
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://twitter.com/Moxy_CERLOS/status/1232634014416109569 …",0.0,0.571,0.429,0.9752
10553,"very great project and impressive with a team that is very creative and great, I'm sure this project will be successful and go far. #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum",0.0,0.549,0.451,0.9697
10157,"Don't miss this wonderful project. A good campaign and an interesting concept. Join them because the staff is great, perfectly copes with his duties.#cerlos #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin",0.0,0.501,0.499,0.9679
10622,"Definitely worth taking part! Good luck to the team! I'm strongly motivated and excited about this awesome project, #cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.503,0.497,0.9669
9979,Strong team with a great project. Love to be a part of this movement and wishing a successful to all team members and developers.The most interesting project to date! #cerlos  #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH,0.0,0.593,0.407,0.9665
9091,Recommend! I believe this is project in the hands of its experts. You guys are one of the few legit projects. I love this project. Great idea. Very thankful to the dev and team of this big project. All the best. #IEO #STO #BuildingMaterials #Sustainability #Sustainable #cerlos,0.0,0.675,0.325,0.9652
12266,"cerlos nice project I sincerely believe in the success of the project and hope that it will give us all great pleasure
 #cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale.

 https://cerlos.io ",0.0,0.588,0.412,0.9652
9832,"A great project with a good product, thanks to the team for their active and efficient work, I am with you and, possibly, recommend to my friends! #cerlos  #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.577,0.423,0.9652
5289,"Hi Readers! Enjoy the new Philosophy Article in English by Divya Pant named ""LOVE SUSTAINABILITY vs. SUSTAINABLE LOVE""

 http://ow.ly/olX850zuQSB 
#JOURNAL #JOURNEY #LOVE #LOVE SUSTAINABILITY #PHILOSOPHY #RELATIONSHIP #SUSTAINABILITY #SUSTAINABLE #SUSTAINABLE LOVE #TRUST",0.0,0.596,0.404,0.9652
12934,"Strong team is the key to successful business This project is exactly the structure that combines a brilliant innovative idea with strong and creative team!
#IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.597,0.403,0.9652
