,0,1,2,3,4,5
0,Ich würde es nicht wie #Thanos machen. Ich würde mir eine pick&choose-Funktion im Handschuh einbauen lassen.,😢,😄,😓,😅,💓
1,#lol #nerdy #avengersinfinitywar #johnwick #tumblr #nerd #russobrothers #avengers #infinitywar #thanos #thesnap #nerd #talknerdytome #TNTM  https://www.instagram.com/p/CBsnVejFSU65uiHx9EGnscpImlek4MMSR0PdkI0/?igshid=mea9d56ri9p8 …,😅,😉,😄,😎,😜
2,"Happy Father’s Day all! 🧔🏻👨🏿👨🏽‍🦳🦝🦍Your a better Dad then #thanos
#dadoftheyear #bestdadever #HappyFathersDay2020 

Episodes available here:
🍏  https://spoti.fi/2Y42faQ 
#podnation #podcast #PodNation #podernfamily #movienight #whatshouldwewatch #quarentineandchill pic.twitter.com/XgqE6F1x7F",😊,💪,👍,😄,😉
3,"6／21お題「撃」
撃攘
#IRONMAN
#THANOS
#夜のフィギュア撮影会 pic.twitter.com/MgffdcjT7m",💓,✌,👍,🎶,🎵
4,"¿Y si el chasquido de Thanos hubiera ocurrido en la vida real? Mira este vídeo del canal QUE PASARÍA SÍ? y descúbrelo conmigo.

  https://youtu.be/ImWr0au7CZk 
⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️⬆️
#THANOS #avengersendgame #AVENGERS #avengersinfinitywar #chasquido #snap pic.twitter.com/6zTgqz6wUe",👊,😓,😡,💓,😠
5,"#HappyFathersDay!
✨
Art by @MJHiblen
✨
#Thanos #Gamora #Nebula #MCU #Marvel #MarvelCosmic pic.twitter.com/dyxagcBO5p",💛,👏,💪,💓,👍
6,"Con honor hasta el final
.
#Thanos #blackwidow #Hawkeye #IronMan #Hulk #Thor #captainamerica #capitanamerica #avengers #marvel #ucm #mcu #gamer #Videogames #games #videojuegos pic.twitter.com/32RBLXwIr2",💔,👊,💛,💓,☺
7,"Si pronto, c'è #Thanos?

No vax,  no cervello!
#novax https://twitter.com/Corriere/status/1274345703511404549 …",👊,💪,👏,🎶,💓
8,"@ComicBook_Movie @screenrant @Marvel_TV @heroichollywood check out this sick #Thanos #tribute! It's edited with the #morbius soundtrack. 

 https://youtu.be/IqOt_BrXcBY 
#marvel #themadtitan",👊,🎵,😎,👍,🎶
9,"Reposted from unrealtoys Age of heroes

#avengers #wonderwoman #ironman #captainamerica #justanothertoygroup #toptoyphotos #toydiscovery #superman #thanos #toyboners #wheretoysdwell #wonderwoman #endgame…  https://www.instagram.com/p/CBsX4zOFJze/?igshid=rlpuzoycx91m …",👍,🎶,🙏,👏,💪
10,"What if it was all just a dream. @grandayy  did this before me.
#Joker #flextape #rickrolled #nagarpalika #StarWars #thanos  pic.twitter.com/JrOKZ5vQcb",✨,🙏,💛,😢,💓
11,membuka CFD = snap #thanos  https://twitter.com/ernestprakasa/status/1274615594482974720 …,✌,👊,😜,💪,👍
12,"Happy father's day everyone, Don't do a #Thanos 😀  pic.twitter.com/QNOgjN5kbo",😜,💛,✨,❤,💙
