,0,1,2,3
0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,😞,😣,😢
1,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,💪,👏,👍
2,my whole body feels itchy and like its on fire ,😫,😣,😖
3,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",😢,😡,😠
4,@Kwesidei not the whole crew ,✋,💀,🙅
5,Need a hug ,😢,😔,😞
6,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",☺,😄,😊
7,@Tatiana_K nope they didn't have it ,😞,😕,🙅
8,@twittera que me muera ? ,🙊,💔,😢
9,spring break in plain city... it's snowing ,😐,😒,😑
10,I just re-pierced my ears ,😣,🎵,😖
11,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,😢,😞,😕
12,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",😞,💔,😔
13,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",😕,😉,🔫
14,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,😭,💔,😢
15,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,😖,💔,😢
16,about to file taxes ,😁,🔫,😬
17,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,😄,😍,🎶
18,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,😉,😳,🙈
19,@alydesigns i was out most of the day so didn't get much done ,😂,💀,😅
20,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",😪,😞,😔
21,@angry_barista I baked you a cake but I ated it ,😂,💁,😋
22,this week is not going as i had hoped ,😓,😔,😞
23,blagh class at 8 tomorrow ,😪,😫,🔫
24,I hate when I have to call and wake people up ,😒,😡,😠
25,Just going to cry myself to sleep after watching Marley and Me.  ,😪,💔,😢
26,im sad now  Miss.Lilly,😔,💔,😢
