index,GOOG
2020-09-09,1557.53
2020-09-08,1533.51
2020-09-04,1624.26
2020-09-03,1709.7143
2020-09-02,1673.7754
2020-09-01,1636.63
2020-08-31,1647.89
2020-08-28,1633.49
2020-08-27,1653.68
2020-08-26,1608.0
2020-08-25,1582.07
2020-08-24,1593.98
2020-08-21,1577.03
2020-08-20,1543.45
2020-08-19,1553.31
2020-08-18,1526.18
2020-08-17,1514.67
2020-08-14,1515.66
2020-08-13,1510.34
2020-08-12,1485.58
2020-08-11,1492.44
2020-08-10,1487.18
2020-08-07,1500.0
2020-08-06,1471.75
2020-08-05,1469.3
2020-08-04,1476.57
2020-08-03,1486.64
2020-07-31,1505.01
2020-07-30,1497.0
2020-07-29,1506.32
2020-07-28,1525.18
2020-07-27,1515.6
2020-07-24,1498.93
2020-07-23,1566.97
2020-07-22,1560.5
2020-07-21,1586.99
2020-07-20,1515.26
2020-07-17,1521.62
2020-07-16,1500.0
2020-07-15,1523.13
2020-07-14,1490.31
2020-07-13,1550.0
2020-07-10,1506.15
2020-07-09,1506.45
2020-07-08,1494.32
2020-07-07,1490.0
2020-07-06,1480.06
2020-07-02,1446.94
2020-07-01,1411.1
2020-06-30,1390.44
2020-06-29,1358.18
2020-06-26,1431.39
2020-06-25,1429.9
2020-06-24,1461.51
2020-06-23,1455.64
2020-06-22,1429.0
2020-06-19,1444.0
2020-06-18,1449.16
2020-06-17,1447.16
2020-06-16,1445.22
2020-06-15,1390.8
2020-06-12,1428.49
2020-06-11,1442.48
2020-06-10,1459.54
2020-06-09,1445.36
2020-06-08,1422.34
2020-06-05,1413.17
2020-06-04,1430.4
2020-06-03,1438.3
2020-06-02,1430.55
2020-06-01,1418.39
2020-05-29,1416.94
2020-05-28,1396.86
2020-05-27,1417.25
2020-05-26,1437.27
2020-05-22,1396.71
2020-05-21,1408.0
2020-05-20,1389.58
2020-05-19,1387.0
2020-05-18,1361.75
2020-05-15,1350.0
2020-05-14,1335.02
2020-05-13,1377.05
2020-05-12,1407.12
2020-05-11,1378.28
2020-05-08,1383.13
2020-05-07,1365.94
2020-05-06,1361.69
2020-05-05,1337.92
2020-05-04,1308.23
2020-05-01,1328.5
2020-04-30,1324.88
2020-04-29,1341.46
2020-04-28,1287.93
2020-04-27,1296.0
2020-04-24,1261.17
2020-04-23,1271.55
2020-04-22,1245.54
2020-04-21,1247.0
2020-04-20,1271.0
2020-04-17,1284.85
2020-04-16,1274.1
2020-04-15,1245.61
2020-04-14,1245.09
2020-04-13,1209.18
2020-04-09,1224.08
2020-04-08,1206.5
2020-04-07,1221.0
2020-04-06,1138.0
2020-04-03,1119.02
2020-04-02,1098.26
2020-04-01,1122.0
2020-03-31,1147.3
2020-03-30,1125.04
2020-03-27,1125.67
2020-03-26,1111.8
2020-03-25,1126.47
2020-03-24,1103.77
2020-03-23,1061.32
2020-03-20,1135.72
2020-03-19,1093.05
2020-03-18,1056.51
2020-03-17,1093.11
2020-03-16,1096.0
2020-03-13,1179.0
2020-03-12,1126.0
2020-03-11,1249.7
2020-03-10,1260.0
2020-03-09,1205.3
2020-03-06,1277.06
2020-03-05,1350.2
2020-03-04,1359.23
2020-03-03,1399.42
2020-03-02,1351.61
2020-02-28,1277.5
2020-02-27,1362.06
2020-02-26,1396.14
2020-02-25,1433.0
2020-02-24,1426.11
2020-02-21,1508.03
2020-02-20,1522.0
2020-02-19,1525.07
2020-02-18,1515.0
2020-02-14,1515.6
2020-02-13,1512.69
2020-02-12,1514.48
2020-02-11,1511.81
2020-02-10,1474.32
2020-02-07,1467.3
2020-02-06,1450.33
2020-02-05,1462.42
2020-02-04,1457.07
2020-02-03,1462.0
2020-01-31,1468.9
2020-01-30,1439.96
2020-01-29,1458.8
2020-01-28,1443.0
2020-01-27,1431.0
2020-01-24,1493.59
2020-01-23,1487.64
2020-01-22,1491.0
2020-01-21,1479.12
2020-01-17,1462.91
2020-01-16,1447.44
2020-01-15,1430.21
2020-01-14,1439.01
2020-01-13,1436.13
2020-01-10,1427.56
2020-01-09,1420.57
2020-01-08,1392.08
2020-01-07,1397.94
2020-01-06,1350.0
2020-01-03,1347.86
2020-01-02,1341.55
2019-12-31,1330.11
2019-12-30,1350.0
2019-12-27,1362.99
2019-12-26,1346.17
2019-12-24,1348.5
2019-12-23,1355.87
2019-12-20,1363.35
2019-12-19,1351.82
2019-12-18,1356.6
2019-12-17,1362.89
2019-12-16,1356.5
2019-12-13,1347.95
2019-12-12,1345.94
2019-12-11,1350.84
2019-12-10,1341.5
2019-12-09,1338.04
2019-12-06,1333.44
2019-12-05,1328.0
2019-12-04,1307.01
2019-12-03,1279.57
2019-12-02,1301.0
2019-11-29,1307.12
2019-11-27,1315.0
2019-11-26,1309.86
2019-11-25,1299.18
2019-11-22,1305.62
2019-11-21,1301.48
2019-11-20,1311.74
2019-11-19,1327.7
2019-11-18,1332.22
2019-11-15,1318.94
2019-11-14,1297.5
2019-11-13,1294.07
